"ID","Outcome"
1921,"W"
486,"UE"
5177,"FE"
4632,"W"
2735,"UE"
6843,"FE"
7756,"UE"
3053,"UE"
9605,"W"
5662,"UE"
930,"UE"
313,"W"
6070,"W"
6207,"W"
7468,"UE"
7814,"UE"
1039,"UE"
8476,"W"
5931,"UE"
5280,"FE"
4575,"W"
6082,"UE"
6234,"UE"
3410,"W"
6918,"FE"
5034,"W"
3379,"W"
2425,"W"
1240,"UE"
8575,"W"
9584,"W"
4407,"W"
2384,"W"
7009,"FE"
2962,"UE"
80,"FE"
7973,"FE"
588,"W"
6607,"W"
8201,"W"
3895,"FE"
6071,"FE"
4313,"UE"
1074,"UE"
1787,"FE"
225,"W"
5125,"W"
3746,"W"
5402,"W"
914,"W"
2196,"UE"
5865,"UE"
4676,"W"
5267,"UE"
4689,"W"
4814,"W"
9777,"UE"
6550,"UE"
1209,"UE"
9276,"W"
8870,"W"
1481,"W"
3554,"W"
8510,"W"
7258,"W"
3968,"FE"
1110,"W"
1134,"UE"
3196,"W"
4205,"W"
9243,"W"
2304,"FE"
2273,"FE"
3856,"UE"
6429,"FE"
73,"UE"
6656,"UE"
2940,"FE"
5241,"W"
105,"W"
2018,"FE"
5637,"W"
5820,"FE"
2966,"W"
5274,"UE"
1231,"FE"
7922,"W"
175,"W"
8774,"UE"
9838,"FE"
8865,"W"
3152,"FE"
4298,"FE"
5660,"UE"
4829,"UE"
570,"W"
2332,"FE"
6942,"W"
4212,"W"
392,"UE"
9919,"W"
165,"UE"
4192,"W"
5139,"W"
5029,"FE"
8087,"FE"
1083,"FE"
9805,"UE"
4937,"FE"
3903,"UE"
5175,"W"
9574,"FE"
4556,"W"
2303,"UE"
7784,"W"
2118,"UE"
8723,"FE"
9005,"UE"
1891,"W"
8497,"UE"
3204,"FE"
5658,"W"
8107,"W"
6388,"W"
7720,"UE"
4917,"W"
1888,"UE"
2148,"W"
9454,"FE"
5506,"W"
8715,"W"
6182,"UE"
9833,"UE"
4046,"W"
9625,"FE"
5329,"W"
6980,"UE"
2625,"UE"
1232,"W"
7558,"W"
2895,"W"
7670,"FE"
9608,"UE"
4104,"FE"
6265,"W"
1450,"W"
8015,"FE"
1517,"FE"
3079,"UE"
18,"W"
2352,"UE"
4675,"UE"
3851,"UE"
2720,"UE"
6483,"FE"
8233,"UE"
1326,"W"
5754,"UE"
9890,"UE"
4567,"UE"
7499,"W"
3641,"W"
9629,"UE"
4463,"UE"
38,"UE"
6679,"FE"
7125,"UE"
8720,"FE"
4272,"UE"
6706,"FE"
4179,"FE"
1485,"FE"
3826,"UE"
3239,"FE"
3026,"W"
7064,"UE"
816,"W"
6489,"W"
4831,"W"
904,"UE"
1762,"FE"
8375,"FE"
3292,"UE"
2462,"UE"
4464,"UE"
8014,"UE"
5128,"UE"
4594,"W"
3529,"UE"
1540,"UE"
6880,"W"
8465,"UE"
216,"W"
4528,"W"
7284,"W"
4128,"UE"
727,"UE"
5167,"W"
7903,"UE"
3150,"UE"
2248,"UE"
1260,"W"
1761,"W"
7630,"UE"
3617,"FE"
454,"FE"
7288,"FE"
9589,"UE"
6828,"W"
8752,"FE"
557,"FE"
6570,"UE"
1221,"FE"
3484,"UE"
7033,"FE"
4497,"UE"
2702,"FE"
7718,"W"
9432,"W"
569,"FE"
8197,"W"
2915,"FE"
5054,"W"
344,"W"
9340,"UE"
5985,"UE"
3306,"FE"
9953,"UE"
5418,"FE"
6291,"W"
5020,"UE"
4330,"W"
6153,"FE"
8135,"FE"
4811,"W"
6991,"W"
6591,"W"
6240,"FE"
2061,"W"
4968,"UE"
7811,"UE"
9581,"UE"
6377,"UE"
5719,"UE"
2772,"W"
1316,"UE"
7606,"W"
5303,"W"
3884,"FE"
4658,"UE"
5969,"FE"
6850,"FE"
3446,"UE"
2983,"UE"
4727,"FE"
9408,"W"
3574,"W"
2342,"UE"
5113,"W"
9295,"FE"
2691,"UE"
6913,"UE"
8845,"W"
7942,"UE"
6196,"W"
9437,"UE"
8418,"UE"
2656,"UE"
3294,"FE"
8319,"UE"
8193,"FE"
5079,"W"
5308,"W"
6726,"W"
1664,"W"
6999,"FE"
4393,"FE"
2815,"UE"
1855,"UE"
4146,"FE"
7139,"UE"
9734,"UE"
6814,"UE"
7314,"W"
2793,"W"
9931,"FE"
2495,"UE"
1011,"FE"
7501,"UE"
3269,"FE"
8782,"UE"
3309,"UE"
8137,"FE"
2085,"W"
7786,"UE"
8571,"W"
7145,"W"
8995,"W"
2115,"W"
5166,"W"
2782,"W"
2901,"W"
2725,"FE"
7887,"W"
3676,"W"
8787,"UE"
6883,"W"
3341,"W"
5023,"UE"
6170,"FE"
1948,"W"
8433,"UE"
712,"FE"
7676,"UE"
8669,"W"
8227,"W"
7474,"UE"
8370,"UE"
9143,"FE"
3994,"UE"
7640,"UE"
337,"UE"
9453,"W"
6222,"FE"
3859,"FE"
834,"W"
5517,"FE"
65,"UE"
7441,"W"
6001,"W"
9109,"W"
3942,"W"
2546,"W"
1022,"W"
3350,"UE"
9327,"W"
1758,"FE"
2570,"FE"
130,"FE"
3608,"W"
8580,"UE"
2851,"W"
1671,"W"
765,"W"
1506,"W"
127,"W"
8789,"FE"
2528,"UE"
7079,"FE"
7509,"UE"
2818,"W"
1977,"UE"
8568,"UE"
1932,"UE"
2514,"W"
648,"FE"
4299,"W"
9948,"W"
7434,"UE"
1967,"UE"
5546,"FE"
7859,"UE"
7356,"W"
95,"UE"
2373,"W"
5653,"W"
2643,"W"
4064,"W"
4452,"FE"
9412,"W"
9175,"W"
9323,"UE"
3551,"UE"
9920,"UE"
2746,"W"
5396,"W"
